Abóbora
Amaranto
Amarelo
Âmbar
Ameixa
Azul
Azul-bebê
Azul-claro
Azul-cobalto
Azul-esverdeado
Azul-marinho
Azul-persa
Azul-violeta
Bege
Branco
Carmesim
Carmim
Cereja
Cerúleo
Champagne
Chocolate
Cinza
Coral
Escarlate
Framboesa
Índigo
Laranja
Lavanda
Lilás
Lima
Magenta
Marfim
Marrom
Oliva
Ouro
Pêssego
Prata
Preto
Rosa
rosa-arroxeado
Rosa-magenta
Roxo
Salmão
Turquesa
Uva
Verde
Verde-água
Verde-claro
Verde-jade
Verde-limão
Verde-primavera
Vermelho
Violeta
